Timestamp,State,state
2024-05-21 00:00:00,,1.0
2024-05-21 00:01:00,,1.0
2024-05-21 00:02:00,,1.0
2024-05-21 00:03:00,,1.0
2024-05-21 00:04:00,,1.0
2024-05-21 00:05:00,,1.0
2024-05-21 00:06:00,,0.9999999999999027
2024-05-21 00:07:00,,0.9883333333334305
2024-05-21 00:08:00,,0.9766666666667639
2024-05-21 00:09:00,,0.9650000000000972
2024-05-21 00:10:00,,0.9533333333334305
2024-05-21 00:11:00,,0.9416666666667639
2024-05-21 00:12:00,,0.9300000000000972
2024-05-21 00:13:00,,0.9183333333334306
2024-05-21 00:14:00,,0.9066666666667639
2024-05-21 00:15:00,,0.8950000000000972
2024-05-21 00:16:00,,0.8833333333334306
2024-05-21 00:17:00,,0.8716666666667638
2024-05-21 00:18:00,,0.8600000000000971
2024-05-21 00:19:00,,0.8483333333334305
2024-05-21 00:20:00,,0.8366666666667639
2024-05-21 00:21:00,,0.8250000000000972
2024-05-21 00:22:00,,0.8133333333334305
2024-05-21 00:23:00,,0.8016666666667638
2024-05-21 00:24:00,,0.7900000000000972
2024-05-21 00:25:00,,0.7783333333334306
2024-05-21 00:26:00,,0.7666666666667639
2024-05-21 00:27:00,,0.7550000000000971
2024-05-21 00:28:00,,0.7433333333334305
2024-05-21 00:29:00,,0.7316666666667638
2024-05-21 00:30:00,,0.7200000000000972
2024-05-21 00:31:00,,0.7083333333334305
2024-05-21 00:32:00,,0.6966666666667638
2024-05-21 00:33:00,,0.6850000000000972
2024-05-21 00:34:00,,0.6733333333334305
2024-05-21 00:35:00,,0.6616666666667639
2024-05-21 00:36:00,,0.6500000000000972
2024-05-21 00:37:00,,0.6383333333334305
2024-05-21 00:38:00,,0.6266666666667638
2024-05-21 00:39:00,,0.6150000000000971
2024-05-21 00:40:00,,0.6033333333334305
2024-05-21 00:41:00,,0.5916666666667638
2024-05-21 00:42:00,,0.5800000000000972
2024-05-21 00:43:00,,0.5683333333334306
2024-05-21 00:44:00,,0.556666666666764
2024-05-21 00:45:00,,0.5450000000000974
2024-05-21 00:46:00,,0.5333333333334307
2024-05-21 00:47:00,,0.5333333333334307
2024-05-21 00:48:00,,0.5333333333333334
2024-05-21 00:49:00,,0.5333333333333334
2024-05-21 00:50:00,,0.5333333333333334
2024-05-21 00:51:00,,0.5333333333333334
2024-05-21 00:52:00,,0.5333333333333334
2024-05-21 00:53:00,,0.5333333333333334
2024-05-21 00:54:00,,0.5333333333333334
2024-05-21 00:55:00,,0.5333333333333334
2024-05-21 00:56:00,,0.5333333333333334
2024-05-21 00:57:00,,0.5333333333333334
2024-05-21 00:58:00,,0.5333333333333334
2024-05-21 00:59:00,,0.5333333333333334
2024-05-21 01:00:00,,0.5333333333333334
2024-05-21 01:01:00,,0.5333333333333334
2024-05-21 01:02:00,,0.5333333333333334
2024-05-21 01:03:00,,0.5333333333333334
2024-05-21 01:04:00,,0.5333333333333334
2024-05-21 01:05:00,,0.5333333333333334
2024-05-21 01:06:00,,0.5333333333333334
2024-05-21 01:07:00,,0.5333333333333334
2024-05-21 01:08:00,,0.5333333333333334
2024-05-21 01:09:00,,0.5333333333333334
2024-05-21 01:10:00,,0.5333333333333334
2024-05-21 01:11:00,,0.5333333333333334
2024-05-21 01:12:00,,0.5333333333333334
2024-05-21 01:13:00,,0.5333333333333334
2024-05-21 01:14:00,,0.5333333333333334
2024-05-21 01:15:00,,0.5333333333333334
2024-05-21 01:16:00,,0.5333333333333334
2024-05-21 01:17:00,,0.5333333333333334
2024-05-21 01:18:00,,0.5333333333333334
2024-05-21 01:19:00,,0.5333333333333334
2024-05-21 01:20:00,,0.5333333333333334
2024-05-21 01:21:00,,0.5333333333333334
2024-05-21 01:22:00,,0.5333333333333334
2024-05-21 01:23:00,,0.5333333333333334
2024-05-21 01:24:00,,0.5333333333333334
2024-05-21 01:25:00,,0.5333333333333334
2024-05-21 01:26:00,,0.5333333333333334
2024-05-21 01:27:00,,0.5333333333333334
2024-05-21 01:28:00,,0.5333333333333334
2024-05-21 01:29:00,,0.5333333333333334
2024-05-21 01:30:00,,0.5333333333333334
2024-05-21 01:31:00,,0.5333333333333334
2024-05-21 01:32:00,,0.5333333333333334
2024-05-21 01:33:00,,0.5333333333333334
2024-05-21 01:34:00,,0.5333333333333334
2024-05-21 01:35:00,,0.5333333333333334
2024-05-21 01:36:00,,0.5333333333333334
2024-05-21 01:37:00,,0.5333333333333334
2024-05-21 01:38:00,,0.5333333333333334
2024-05-21 01:39:00,,0.5333333333333334
2024-05-21 01:40:00,,0.5333333333333334
2024-05-21 01:41:00,,0.5333333333333334
2024-05-21 01:42:00,,0.5333333333333334
2024-05-21 01:43:00,,0.5333333333333334
2024-05-21 01:44:00,,0.5333333333333334
2024-05-21 01:45:00,,0.5333333333333334
2024-05-21 01:46:00,,0.5333333333333334
2024-05-21 01:47:00,,0.5333333333333334
2024-05-21 01:48:00,,0.5333333333333334
2024-05-21 01:49:00,,0.5333333333333334
2024-05-21 01:50:00,,0.5333333333333334
2024-05-21 01:51:00,,0.5333333333333334
2024-05-21 01:52:00,,0.5333333333333334
2024-05-21 01:53:00,,0.5333333333333334
2024-05-21 01:54:00,,0.5333333333333334
2024-05-21 01:55:00,,0.5333333333333334
2024-05-21 01:56:00,,0.5333333333333334
2024-05-21 01:57:00,,0.5333333333333334
2024-05-21 01:58:00,,0.5333333333333334
2024-05-21 01:59:00,,0.5333333333333334
2024-05-21 02:00:00,,0.5333333333333334
2024-05-21 02:01:00,,0.5333333333333334
2024-05-21 02:02:00,,0.5333333333333334
